titre	url Page d’histoire	sujet	url sujet	agent	url agent	Lieux	url Lieux
Dominique Jean Larrey	https://francearchives.fr/pages_histoire/39460	médecin###Campagne d’Égypte (1798-1801)###Guerres napoléoniennes (1800-1815)	https://francearchives.fr/fr/subject/217848993###https://francearchives.fr/fr/subject/30299386###https://francearchives.fr/fr/subject/131513860	Larrey, Dominique-Jean (1766-1842) ; Napoléon Ier (1769-1821 ; empereur des Français)	https://francearchives.fr/fr/agent/214747017###https://francearchives.fr/fr/agent/130744655		
Érection en duché du comté de Savoie	https://francearchives.fr/pages_histoire/39559	Moyen Âge###chef d'État###frontière	https://francearchives.fr/fr/subject/131572578###https://francearchives.fr/fr/subject/128993633###https://francearchives.fr/fr/subject/131241982	Amédée VIII (1383-1451 ; duc de Savoie) 	https://francearchives.fr/fr/agent/27354629		
Erik Satie	https://francearchives.fr/pages_histoire/38998	musique###vie intellectuelle	https://francearchives.fr/fr/subject/130949414###https://francearchives.fr/fr/subject/222798	Satie, Erik (1866-1925) ; Diaghilev, Serge de (1872-1929)	https://francearchives.fr/fr/agent/30328318		
Eustache Le Sueur	https://francearchives.fr/pages_histoire/39677			Le Sueur, Eustache (1617-1655) ; Académie royale de peinture et de sculpture (France)	https://francearchives.fr/fr/agent/19190138		
Exécution du chevalier de La Barre	https://francearchives.fr/pages_histoire/39461	Mouvement des Lumières###impiété###peine capitale	https://francearchives.fr/fr/subject/131726467###https://francearchives.fr/fr/subject/27351033###https://francearchives.fr/fr/subject/217665253	Voltaire (1694-1778) ; La Barre, Jean François Lefebvre (1745-1766 ; chevalier de) ; 	https://francearchives.fr/fr/agent/18615153	Abbeville (Somme, France)	https://francearchives.fr/fr/location/322446663
Fondation de l’abbaye du Mont-Saint-Michel	https://francearchives.fr/pages_histoire/39017	institution monastique###Moyen Âge###congrégation###pélerinage	https://francearchives.fr/fr/subject/222196###https://francearchives.fr/fr/subject/131572578###https://francearchives.fr/fr/subject/130848867###https://francearchives.fr/fr/subject/130980466			Mont-Saint-Michel (Manche, France)	https://francearchives.fr/fr/location/167887352
Fondation de l’Académie de France à Rome	https://francearchives.fr/pages_histoire/39676	art###patrimoine architectural###création artistique###société savante	https://francearchives.fr/fr/subject/217673747###https://francearchives.fr/fr/subject/222224###https://francearchives.fr/fr/subject/18259356###https://francearchives.fr/fr/subject/131928557	Académie de France à Rome	https://francearchives.fr/fr/agent/18450758	Rome (Italie)	https://francearchives.fr/fr/location/130830041
Fondation de Lorient	https://francearchives.fr/pages_histoire/39675	port###commerce extérieur	https://francearchives.fr/fr/subject/130825263###https://francearchives.fr/fr/subject/130719560	Compagnie royale des Indes Orientales (France) 	https://francearchives.fr/fr/agent/18956414	Lorient (Morbihan, France)	https://francearchives.fr/fr/location/217173396
Fondation du port de Sète et début du creusement du canal royal des Deux-Mers	https://francearchives.fr/pages_histoire/39681	port###commerce###voie navigable	https://francearchives.fr/fr/subject/130825263###https://francearchives.fr/fr/subject/130956190###https://francearchives.fr/fr/subject/131532775	Riquet, Pierre Paul de (1604-1680) 	https://francearchives.fr/fr/agent/358259657	Sète (Hérault, France)	https://francearchives.fr/fr/location/18372204
François André Vincent	https://francearchives.fr/pages_histoire/39951	peinture	https://francearchives.fr/fr/subject/132028797	Vincent, François André (1746-1816) 	https://francearchives.fr/fr/agent/18540738		
François Mansart	https://francearchives.fr/pages_histoire/39673	architecture###patrimoine architectural	https://francearchives.fr/fr/subject/130953121###https://francearchives.fr/fr/subject/222224	Mansart, François (1598-1666) ; Brosse, Salomon de (1571?-1626)	https://francearchives.fr/fr/agent/19245430###https://francearchives.fr/fr/agent/18792557		
François Mitterrand	https://francearchives.fr/pages_histoire/39215	parti politique###socialisme###chef d'État	https://francearchives.fr/fr/subject/130929781###https://francearchives.fr/fr/subject/18265827###https://francearchives.fr/fr/subject/128993633	Mitterrand, François (1916-1996) 	https://francearchives.fr/fr/agent/130949876		
Françoise Giroud	https://francearchives.fr/pages_histoire/39216	condition féminine###presse###mouvement féministe; administration centrale	https://francearchives.fr/fr/subject/18258287###https://francearchives.fr/fr/subject/130666092###https://francearchives.fr/fr/subject/218061973###https://francearchives.fr/fr/subject/130921480	Giroud, Françoise (1916-2003) ; Servan-Schreiber, Jean-Jacques (1924-2006) ; L' Express (Périodique)	https://francearchives.fr/fr/agent/19231926###https://francearchives.fr/fr/agent/166003802 		
Gaston Maspero	https://francearchives.fr/pages_histoire/38883	archéologie	https://francearchives.fr/fr/subject/131991534	Maspero, Gaston (1846-1916) ; Institut français d'archéologie orientale (Le Caire)	https://francearchives.fr/fr/agent/214703760	Égypte	https://francearchives.fr/fr/location/130932837
Georges Duhamel	https://francearchives.fr/pages_histoire/39105	médecin : littérature###francophonie	https://francearchives.fr/fr/subject/217848993###https://francearchives.fr/fr/subject/217853343###https://francearchives.fr/fr/subject/18264688	Duhamel, Georges (1884-1966) 	https://francearchives.fr/fr/agent/131818279		
Giovanni Niccolo Servandoni	https://francearchives.fr/pages_histoire/39365	salle de spectacles###architecture###manifestation culturelle	https://francearchives.fr/fr/subject/128994154###https://francearchives.fr/fr/subject/130953121###https://francearchives.fr/fr/subject/170755347	Servandoni, Giovanni Niccolo (1695-1766) 	https://francearchives.fr/fr/agent/19430517		
Henri Dutilleux	https://francearchives.fr/pages_histoire/38992	musique	https://francearchives.fr/fr/subject/130949414				
Inauguration de la maison de la culture d’Amiens par André Malraux	https://francearchives.fr/pages_histoire/39104	action culturelle###équipement socio-culturel###Cinquième République (1958- )	https://francearchives.fr/fr/subject/130754492###https://francearchives.fr/fr/subject/130879758###https://francearchives.fr/fr/subject/18282789	Malraux, André (1901-1976) 	https://francearchives.fr/fr/agent/18544723	Amiens (Somme, France)	https://francearchives.fr/fr/location/131502134
Invention du stéthoscope par René Laennec	https://francearchives.fr/pages_histoire/39946	médecin###invention	https://francearchives.fr/fr/subject/217848993###https://francearchives.fr/fr/subject/130933374	Laennec, René-Théophile-Hyacinthe (1781-1826) 	https://francearchives.fr/fr/agent/19376531		
Jean Arp	https://francearchives.fr/pages_histoire/39107	arts plastiques###vie intellectuelle	https://francearchives.fr/fr/subject/131051621###https://francearchives.fr/fr/subject/222798	 Tzara, Tristan (1896-1963) ; Arp, Jean (1886-1966) 	https://francearchives.fr/fr/agent/19660937		
Jean Lurçat	https://francearchives.fr/pages_histoire/39101	arts plastqiues###industrie textile	https://francearchives.fr/fr/subject/131051621###https://francearchives.fr/fr/subject/131874821	Lurçat, Jean (1892-1966) 	https://francearchives.fr/fr/agent/130999950		
Jean Sully Mounet, dit Mounet-Sully	https://francearchives.fr/pages_histoire/38884	art dramatique###acteur	https://francearchives.fr/fr/subject/18259958###https://francearchives.fr/fr/subject/18265147	Mounet-Sully (1841-1916) ; Comédie-Française (Paris)	https://francearchives.fr/fr/agent/19423128###https://francearchives.fr/fr/agent/131449895		
Jean-Marc Nattier	https://francearchives.fr/pages_histoire/39462	peinture	https://francearchives.fr/fr/subject/132028797	Nattier, Jean-Marc (1685-1766) ; Louis XV (1710-1774 ; roi de France)	https://francearchives.fr/fr/agent/231761978###https://francearchives.fr/fr/agent/131638857		
Jean, duc de Berry	https://francearchives.fr/pages_histoire/39560	Guerre de Cent Ans (1337-1453)###domaine royal	https://francearchives.fr/fr/subject/226636784###https://francearchives.fr/fr/subject/131627044	Jean (1340-1416 ; duc de Berry) ; Charles VII (1403-1461 ; roi de France)	https://francearchives.fr/fr/agent/221829053###https://francearchives.fr/fr/agent/130735305		
Joseph Gallieni	https://francearchives.fr/pages_histoire/38882	officier militaire###colonisation	 https://francearchives.fr/fr/subject/219703064###https://francearchives.fr/fr/subject/131003147	Gallieni, Joseph-Simon (1849-1916) 	https://francearchives.fr/fr/agent/213128554		
Joseph Marie Vien	https://francearchives.fr/pages_histoire/39367	peinture	https://francearchives.fr/fr/subject/132028797	Vien, Joseph-Marie (1716-1809) 	https://francearchives.fr/fr/agent/131438131		
Léo Ferré	https://francearchives.fr/pages_histoire/39217	musique###anarchisme	https://francearchives.fr/fr/subject/130949414###https://francearchives.fr/fr/subject/131870749	Ferré, Léo (1916-1993) 	https://francearchives.fr/fr/agent/232234377		
Louis Bernard Guyton de Morveau	https://francearchives.fr/pages_histoire/39457	sciences physiques###Révolution de 1789###Premier Empire -1804-1815)	https://francearchives.fr/fr/subject/30299720###https://francearchives.fr/fr/subject/127680731###https://francearchives.fr/fr/subject/214415522	Guyton de Morveau, Louis-Bernard (1737-1816) 	https://francearchives.fr/fr/agent/18706066		
Marcel Cerdan	https://francearchives.fr/pages_histoire/39219	discipline sportive###accident des transports	https://francearchives.fr/fr/subject/130759700###https://francearchives.fr/fr/subject/131439693	Cerdan, Marcel (1916-1949) ; Piaf, Édith (1915-1963)	https://francearchives.fr/fr/agent/232234627###https://francearchives.fr/fr/agent/131001161		
Naissance de la double Caisse des dépôts et consignations et d’amortissement	https://francearchives.fr/pages_histoire/39005	institutions###finances publiques###Restauration (1815-1830)	https://francearchives.fr/fr/subject/131513049###https://francearchives.fr/fr/subject/130826353###https://francearchives.fr/fr/subject/224126557	Groupe Caisse des dépôts (France) ; Caisse de la Dette Publique 	https://francearchives.fr/fr/agent/18811447		
Naufrage de La Méduse	https://francearchives.fr/pages_histoire/39949	accident des transports###colonisation	https://francearchives.fr/fr/subject/131439693###https://francearchives.fr/fr/subject/131003147	Géricault, Théodore (1791-1824) ; Chaumareix, Jean Hugues de (1763-1841)	https://francearchives.fr/fr/agent/19293900	Mauritanie	https://francearchives.fr/fr/location/131991405
Odilon Redon	https://francearchives.fr/pages_histoire/38881	peinture###vie intellectuelle	https://francearchives.fr/fr/subject/132028797###https://francearchives.fr/fr/subject/222798	Redon, Odilon (1840-1916) 	https://francearchives.fr/fr/agent/19609263		
Ouverture de l’École vétérinaire d’Alfort	https://francearchives.fr/pages_histoire/39463	médecine vétérinaire###établissement d'enseignement	https://francearchives.fr/fr/subject/130827947###https://francearchives.fr/fr/subject/130710947			Maisons-Alfort (Val-de-Marne, France)	https://francearchives.fr/fr/location/18301583
